,ID,Field,StarID,Type,Subtype,RA,DECL,ID_OGLE_II,ID_MACHO,ID_ASAS,ID_GCVS,ID_OTHER,I,V,P_1,dP_1,T0_1,A_1,R21_1,phi21_1,R31_1,phi31_1,P_2,dP_2,T0_2,A_2,R21_2,phi21_2,R31_2,phi31_2,P_3,dP_3,T0_3,A_3,R21_3,phi21_3,R31_3,phi31_3,Remarks
505,OGLE-BLG-LPV-058706,BLG194.8,86463.0,LPV,OSARG,17.833833,-29.601809999999997,BUL_SC5_75659,-99.99,-99.99,-99.99,      ,15.642999999999999,-99.99,43.309,-99.99,-99.99,0.044000000000000004,-99.99,-99.99,-99.99,-99.99,345.8,-99.99,-99.99,0.098,-99.99,-99.99,-99.99,-99.99,197.78,-99.99,-99.99,0.059000000000000004,-99.99,-99.99,-99.99,-99.99,
506,OGLE-BLG-LPV-058707,BLG194.7,38419.0,LPV,SRV,17.833833,-29.50147,BUL_SC5_89819,-99.99,-99.99,-99.99,      ,15.165999999999999,-99.99,118.06,-99.99,-99.99,0.18600000000000003,-99.99,-99.99,-99.99,-99.99,222.4,-99.99,-99.99,0.22699999999999998,-99.99,-99.99,-99.99,-99.99,131.94,-99.99,-99.99,0.185,-99.99,-99.99,-99.99,-99.99,
507,OGLE-BLG-LPV-058713,BLG194.7,6707.0,LPV,Mira,17.833844,-29.557109999999998,BUL_SC5_82874,-99.99,-99.99,-99.99,      ,15.478,20.811,606.1,-99.99,-99.99,2.8739999999999997,-99.99,-99.99,-99.99,-99.99,114.01,-99.99,-99.99,0.14,-99.99,-99.99,-99.99,-99.99,203.3,-99.99,-99.99,0.131,-99.99,-99.99,-99.99,-99.99,
508,OGLE-BLG-LPV-058721,BLG194.7,38457.0,LPV,OSARG,17.833856,-29.521140000000003,BUL_SC5_89853,-99.99,-99.99,-99.99,      ,15.527000000000001,-99.99,20.357,-99.99,-99.99,0.027000000000000003,-99.99,-99.99,-99.99,-99.99,20.182000000000002,-99.99,-99.99,0.019,-99.99,-99.99,-99.99,-99.99,38.914,-99.99,-99.99,0.016,-99.99,-99.99,-99.99,-99.99,
509,OGLE-BLG-LPV-058723,BLG194.8,126182.0,LPV,OSARG,17.833858,-29.575640000000003,BUL_SC5_82859,-99.99,-99.99,-99.99,      ,14.431,19.172,30.035999999999998,-99.99,-99.99,0.012,-99.99,-99.99,-99.99,-99.99,180.41,-99.99,-99.99,0.013999999999999999,-99.99,-99.99,-99.99,-99.99,20.839000000000002,-99.99,-99.99,0.011000000000000001,-99.99,-99.99,-99.99,-99.99,
510,OGLE-BLG-LPV-058725,BLG194.6,57320.0,LPV,OSARG,17.833861,-29.31392,-99.99,-99.99,-99.99,-99.99,      ,16.364,-99.99,28.399,-99.99,-99.99,0.013000000000000001,-99.99,-99.99,-99.99,-99.99,185.08,-99.99,-99.99,0.019,-99.99,-99.99,-99.99,-99.99,56.0,-99.99,-99.99,0.022000000000000002,-99.99,-99.99,-99.99,-99.99,
511,OGLE-BLG-LPV-058737,BLG194.6,31191.0,LPV,OSARG,17.833872,-29.35022,-99.99,-99.99,-99.99,-99.99,      ,16.325,-99.99,27.944000000000003,-99.99,-99.99,0.006,-99.99,-99.99,-99.99,-99.99,313.4,-99.99,-99.99,0.021,-99.99,-99.99,-99.99,-99.99,426.4,-99.99,-99.99,0.015,-99.99,-99.99,-99.99,-99.99,
512,OGLE-BLG-LPV-058751,BLG194.5,55192.0,LPV,OSARG,17.833894,-29.13383,-99.99,-99.99,-99.99,-99.99,      ,16.372,-99.99,77.97,-99.99,-99.99,0.066,-99.99,-99.99,-99.99,-99.99,225.8,-99.99,-99.99,0.067,-99.99,-99.99,-99.99,-99.99,44.01,-99.99,-99.99,0.048,-99.99,-99.99,-99.99,-99.99,
513,OGLE-BLG-LPV-058757,BLG194.8,126163.0,LPV,OSARG,17.833906,-29.595,BUL_SC5_75545,-99.99,-99.99,-99.99,      ,14.350999999999999,19.423,18.88,-99.99,-99.99,0.013000000000000001,-99.99,-99.99,-99.99,-99.99,17.312,-99.99,-99.99,0.011000000000000001,-99.99,-99.99,-99.99,-99.99,19.021,-99.99,-99.99,0.012,-99.99,-99.99,-99.99,-99.99,
514,OGLE-BLG-LPV-058765,BLG194.7,6709.0,LPV,OSARG,17.833914,-29.554190000000002,BUL_SC5_82878,-99.99,-99.99,-99.99,      ,14.998,21.169,35.689,-99.99,-99.99,0.013999999999999999,-99.99,-99.99,-99.99,-99.99,25.068,-99.99,-99.99,0.039,-99.99,-99.99,-99.99,-99.99,298.4,-99.99,-99.99,0.027999999999999997,-99.99,-99.99,-99.99,-99.99,
